1,2,3,4,5,6,7,8,9,10,Pattern
0.0,0.38,0.19,0.51,0.83,0.54,1.0,0.71,0.9,0.64,12
1.0,0.64,0.83,0.33,0.48,0.24,0.36,0.12,0.24,0.0,11
0.0,0.24,0.12,0.36,0.24,0.48,0.33,0.83,0.64,1.0,10
1.0,0.56,0.69,0.48,0.58,0.35,0.42,0.1,0.31,0.0,9
0.0,0.31,0.1,0.42,0.35,0.58,0.48,0.69,0.56,1.0,8
1.0,0.71,0.87,0.61,0.74,0.45,0.58,0.13,0.39,0.0,7
0.0,0.39,0.13,0.58,0.45,0.74,0.61,0.87,0.71,1.0,6
0.0,0.63,0.5,1.0,0.63,0.75,0.38,0.63,0.5,1.0,5
0.0,0.33,0.17,0.67,0.5,1.0,0.5,0.75,0.42,0.67,4
0.0,0.46,1.0,0.15,0.85,0.31,0.69,0.38,0.62,0.42,3
0.0,0.68,0.42,1.0,0.58,0.79,0.16,0.68,0.42,0.84,2
1.0,0.32,0.58,0.0,0.42,0.21,0.84,0.32,0.58,0.16,1
1.0,0.46,0.73,0.19,0.81,0.43,0.81,0.43,0.62,0.0,1
1.0,0.11,0.55,0.0,0.75,0.11,0.85,0.31,0.78,0.24,1
1.0,0.46,0.87,0.0,0.55,0.28,0.62,0.21,0.41,0.0,1
1.0,0.56,0.9,0.46,0.74,0.6,0.87,0.0,0.54,0.0,1
1.0,0.62,0.81,0.43,0.82,0.53,0.92,0.0,0.57,0.0,1
1.0,0.28,0.89,0.45,0.81,0.5,0.72,0.0,0.62,0.17,1
1.0,0.0,0.76,0.15,0.74,0.29,0.88,0.13,0.77,0.02,1
1.0,0.58,0.79,0.11,0.5,0.16,0.55,0.11,0.45,0.0,1
1.0,0.0,0.62,0.0,1.0,0.15,0.76,0.46,0.65,0.15,1
1.0,0.76,0.97,0.58,0.86,0.62,0.79,0.0,0.6,0.12,1
1.0,0.6,0.85,0.19,1.0,0.31,0.81,0.35,0.74,0.0,1
1.0,0.42,0.71,0.36,0.88,0.43,0.75,0.0,0.58,0.11,1
0.94,0.55,0.79,0.41,1.0,0.49,0.86,0.24,0.62,0.0,1
1.0,0.56,0.9,0.46,0.74,0.6,0.87,0.46,0.67,0.0,1
1.0,0.0,0.85,0.24,0.71,0.35,0.82,0.31,0.57,0.06,1
1.0,0.35,0.9,0.5,0.81,0.62,0.81,0.0,0.5,0.0,1
1.0,0.22,0.61,0.13,0.87,0.41,0.87,0.46,0.67,0.0,1
1.0,0.52,0.93,0.45,0.81,0.5,0.72,0.0,0.62,0.17,1
1.0,0.46,0.87,0.0,0.54,0.08,0.62,0.07,0.34,0.0,1
1.0,0.54,0.93,0.19,0.6,0.4,0.81,0.35,0.74,0.0,1
1.0,0.57,0.94,0.24,0.44,0.28,0.62,0.0,0.53,0.15,1
0.94,0.64,0.89,0.41,1.0,0.49,0.86,0.29,0.57,0.0,1
1.0,0.43,0.92,0.0,0.51,0.25,0.76,0.35,0.56,0.15,1
1.0,0.71,0.93,0.46,0.69,0.49,0.87,0.38,0.8,0.0,1
1.0,0.55,0.89,0.16,0.84,0.26,0.68,0.0,0.58,0.16,1
1.0,0.65,0.92,0.36,0.64,0.47,0.75,0.0,0.58,0.11,1
1.0,0.34,0.84,0.43,1.0,0.57,0.92,0.0,0.57,0.0,1
1.0,0.41,0.86,0.28,0.67,0.33,0.72,0.2,0.52,0.0,1
1.0,0.69,0.84,0.33,0.56,0.44,0.67,0.18,0.48,0.0,1
